full_insight,hook,explanation,action,source_name,source_url,cohort_params,cohort_desc,insight_template,gen_model,gen_temperature,gen_max_tokens,generated_at,eval_score,factual_accuracy,safety,faithfulness,relevance,actionability,cultural_appropriateness,recommendation,revision_suggestions,eval_model,evaluated_at
"Did you know prolonged sitting increases your risk of premature death by up to 50%? Sedentary behaviour significantly raises the risk of cardiovascular disease, type 2 diabetes, and certain cancers, even if you exercise regularly. Break up sitting every 30 minutes with 2-3 minutes of light activity, like standing or walking.",Did you know prolonged sitting increases your risk of premature death by up to 50%?,"Sedentary behaviour significantly raises the risk of cardiovascular disease, type 2 diabetes, and certain cancers, even if you exercise regularly.","Break up sitting every 30 minutes with 2-3 minutes of light activity, like standing or walking.",Health Promotion Board (HPB),https://www.hpb.gov.sg/healthy-living/physical-activity/sitting-less,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:29:57.866592,85,85,95,80,100,100,100,revise,"[""To improve factual accuracy and reduce potential for fear-mongering, consider rephrasing the hook to be more specific about the 'up to 50%' claim, perhaps by adding a qualifier like 'for those sitting for more than 11 hours a day' or 'for extreme sedentary behavior'. Alternatively, use a slightly lower, more generalized percentage if the intent is to apply to a broader range of sedentary individuals, or cite the specific duration from the source."", ""For example, 'Did you know prolonged sitting, especially for more than 11 hours daily, increases your risk of premature death by up to 50%?' or 'Did you know prolonged sitting significantly increases your risk of premature death, with studies showing up to a 50% increase for those with extreme sedentary habits?'""]",google/gemini-2.5-flash,2025-11-28T14:38:39.851102
"Did you know replacing one sugary drink daily with water can reduce your risk of type 2 diabetes by 18%? Sugary beverages contribute to weight gain and insulin resistance, key factors in developing metabolic diseases prevalent in Singapore. Opt for plain water or unsweetened tea instead of soft drinks or sweetened coffee during your lunch break.",Did you know replacing one sugary drink daily with water can reduce your risk of type 2 diabetes by 18%?,"Sugary beverages contribute to weight gain and insulin resistance, key factors in developing metabolic diseases prevalent in Singapore.",Opt for plain water or unsweetened tea instead of soft drinks or sweetened coffee during your lunch break.,Harvard T.H. Chan School of Public Health,https://www.hsph.harvard.edu/nutritionsource/healthy-drinks/sugary-drinks/,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:29:57.866603,95,95,100,100,95,100,95,approve,[],google/gemini-2.5-flash,2025-11-28T14:38:43.583658
"Did you know taking a 15-minute brisk walk after lunch can reduce post-meal blood sugar spikes by 20-30%? Brief post-meal activity helps muscles absorb glucose, preventing sharp blood sugar increases that contribute to metabolic syndrome. Lace up your shoes and take a short, brisk walk around your office building immediately after eating lunch.",Did you know taking a 15-minute brisk walk after lunch can reduce post-meal blood sugar spikes by 20-30%?,"Brief post-meal activity helps muscles absorb glucose, preventing sharp blood sugar increases that contribute to metabolic syndrome.","Lace up your shoes and take a short, brisk walk around your office building immediately after eating lunch.",American Diabetes Association,https://diabetesjournals.org/care/article/42/11/2007/35655/Effects-of-Walking-After-Meals-on-Postprandial,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:29:57.866606,90,95,100,90,100,100,100,revise,"[""Verify if the '20-30%' reduction for a '15-minute brisk walk' is explicitly stated in the provided source or a directly linked, equally credible source. If not, either adjust the numeric claim to what is directly supported by the source or provide a more precise source that backs up the exact numbers and duration/intensity. For instance, if the source indicates a range of reductions across different durations/intensities, the claim should reflect that nuance or cite a study that specifically matches the 15-minute brisk walk with the 20-30% reduction.""]",google/gemini-2.5-flash,2025-11-28T14:38:48.677130
"Did you know eating one handful (30g) of nuts daily can reduce your risk of heart disease by 30%? Nuts are packed with healthy fats, fiber, and protein, which improve cholesterol levels and reduce inflammation. Keep a small bag of unsalted almonds or walnuts at your desk for a healthy afternoon snack.",Did you know eating one handful (30g) of nuts daily can reduce your risk of heart disease by 30%?,"Nuts are packed with healthy fats, fiber, and protein, which improve cholesterol levels and reduce inflammation.",Keep a small bag of unsalted almonds or walnuts at your desk for a healthy afternoon snack.,British Medical Journal (BMJ),https://www.bmj.com/content/356/bmj.j207,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:29:57.866608,90,95,100,90,95,100,100,approve,[],google/gemini-2.5-flash,2025-11-28T14:38:53.275639
"Did you know achieving 7-8 hours of quality sleep nightly can lower your risk of obesity by 50%? Insufficient sleep disrupts hormones regulating appetite and metabolism, leading to increased hunger and fat storage. Prioritize a consistent sleep schedule, aiming for 7-8 hours of uninterrupted sleep every night.",Did you know achieving 7-8 hours of quality sleep nightly can lower your risk of obesity by 50%?,"Insufficient sleep disrupts hormones regulating appetite and metabolism, leading to increased hunger and fat storage.","Prioritize a consistent sleep schedule, aiming for 7-8 hours of uninterrupted sleep every night.",National University of Singapore,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:29:57.866609,65,50,100,0,90,90,100,revise,"[""Replace the specific numeric claim '50%' with a more general statement about 'significantly lower risk' or 'reduced risk' unless a specific, credible study can be cited to support the 50% figure."", ""If a specific study from the National University of Singapore supports the 50% claim, provide the direct URL to that study. Otherwise, remove 'National University of Singapore' as the source and simply state 'general medical knowledge' or 'numerous studies indicate' for the general link between sleep and obesity."", ""Consider rephrasing the hook to be less definitive about the 50% reduction if a strong source isn't available, e.g., 'Did you know that consistently getting 7-8 hours of quality sleep nightly can significantly reduce your risk of obesity?'""]",google/gemini-2.5-flash,2025-11-28T14:38:58.990840
"Did you know 10-minute walk after each meal lowers blood sugar 12% more than one 30-minute daily walk? Post-meal activity uses glucose as muscles contract, preventing spikes crucial for metabolic health in sedentary individuals. Walk 10 minutes around the office or block after lunch and dinner today.",Did you know 10-minute walk after each meal lowers blood sugar 12% more than one 30-minute daily walk?,"Post-meal activity uses glucose as muscles contract, preventing spikes crucial for metabolic health in sedentary individuals.",Walk 10 minutes around the office or block after lunch and dinner today.,American Diabetes Association (ADA),https://diabetesjournals.org/care/article/35/9/1943/39832/The-Effect-of-Postmeal-Exercise-on-Blood-Glucose,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:04.448488,90,95,100,85,100,100,100,revise,"[""Rephrase the '12% more' claim to be less specific or attribute it more broadly if it's a synthesis of multiple findings, or find a more direct source for that exact comparative statistic. For example, 'Studies suggest that short walks after meals can be more effective at lowering blood sugar than a single longer walk, with some research indicating significant improvements in post-meal glucose control.' or 'Did you know that short walks after each meal can be more effective at lowering blood sugar than a single longer daily walk, with studies showing significant benefits for metabolic health?'"", ""Alternatively, if the '12%' figure comes from another specific study, update the source_url to point to that study.""]",google/gemini-2.5-flash,2025-11-28T14:39:04.394103
"Did you know standing for just 5 minutes every hour can reduce your risk of metabolic syndrome by 15%? Breaking up prolonged sitting improves blood flow and glucose metabolism, vital for office workers at risk. Set a timer to stand and stretch or walk to the water cooler every hour.",Did you know standing for just 5 minutes every hour can reduce your risk of metabolic syndrome by 15%?,"Breaking up prolonged sitting improves blood flow and glucose metabolism, vital for office workers at risk.",Set a timer to stand and stretch or walk to the water cooler every hour.,HPB (Health Promotion Board),"https://www.healthhub.sg/live-healthy/1841/stand-up-for-your-health#:~:text=Regularly%20breaking%20up%20prolonged%20sitting,risk%20of%20metabolic%20syndrome.","{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:04.448509,90,95,100,90,100,100,100,revise,"[""To improve faithfulness and factual accuracy, rephrase the hook to more closely align with the source's wording regarding 'regularly breaking up prolonged sitting' and the 15% reduction. For example, 'Did you know regularly breaking up prolonged sitting can reduce your risk of metabolic syndrome by 15%? Even short breaks like standing for 5 minutes every hour can contribute.' This clarifies that the 5-minute break is an example of breaking up sitting, rather than directly attributing the 15% to that specific duration.""]",google/gemini-2.5-flash,2025-11-28T14:39:08.860479
Did you know choosing water over sugary drinks at hawker centres can cut your daily sugar intake by up to 50%? Liquid calories from sweetened beverages contribute significantly to weight gain and metabolic disease risk in Singapore. Opt for plain water or unsweetened tea with your next hawker meal instead of soft drinks.,Did you know choosing water over sugary drinks at hawker centres can cut your daily sugar intake by up to 50%?,Liquid calories from sweetened beverages contribute significantly to weight gain and metabolic disease risk in Singapore.,Opt for plain water or unsweetened tea with your next hawker meal instead of soft drinks.,Ministry of Health Singapore (MOH),https://www.moh.gov.sg/news-highlights/details/war-on-diabetes-healthier-food-and-drink-options-to-be-more-accessible,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:04.448514,85,80,100,70,100,100,100,revise,"[""Either provide a more direct source or a calculation/estimation methodology to support the 'up to 50%' numeric claim, or rephrase the claim to be less specific (e.g., 'significantly cut your daily sugar intake') if a direct source for the percentage isn't available."", ""If the '50%' is an estimation, it should be contextualized as such, or the wording should reflect a more general significant reduction rather than a precise percentage.""]",google/gemini-2.5-flash,2025-11-28T14:39:13.158181
"Did you know 75 minutes of vigorous exercise weekly offers similar heart benefits as 150 minutes of moderate activity? This HPB-recommended minimum dose significantly cuts cardiovascular mortality by 20-30%, even for busy schedules. Try a 25-minute high-intensity workout (HIIT) three times this week to boost heart health.",Did you know 75 minutes of vigorous exercise weekly offers similar heart benefits as 150 minutes of moderate activity?,"This HPB-recommended minimum dose significantly cuts cardiovascular mortality by 20-30%, even for busy schedules.",Try a 25-minute high-intensity workout (HIIT) three times this week to boost heart health.,Health Promotion Board (HPB),https://www.healthhub.sg/live-healthy/1473/more-than-a-workout,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:04.448517,90,95,100,90,95,90,100,revise,"[""Clarify the '20-30% reduction' to align more closely with the source's 'premature death' or add a note that cardiovascular mortality is a significant contributor to premature death. For example, 'This HPB-recommended minimum dose significantly cuts premature death by 20-30%, largely due to reduced cardiovascular risk.'"", ""For the action step, consider adding a brief clarification or alternative for 'HIIT' for a sedentary cohort. For instance, 'Try a 25-minute high-intensity workout (like brisk walking with short bursts of jogging, or bodyweight exercises with short rests) three times this week to boost heart health.' This makes 'HIIT' more accessible and less intimidating for beginners.""]",google/gemini-2.5-flash,2025-11-28T14:39:17.295259
"Did you know replacing white rice with brown rice just three times a week can lower diabetes risk by 16%? Brown rice's higher fiber content stabilizes blood sugar, a key factor for preventing metabolic diseases. Choose brown rice at your next hawker meal or prepare it for home-cooked lunches.",Did you know replacing white rice with brown rice just three times a week can lower diabetes risk by 16%?,"Brown rice's higher fiber content stabilizes blood sugar, a key factor for preventing metabolic diseases.",Choose brown rice at your next hawker meal or prepare it for home-cooked lunches.,Harvard T.H. Chan School of Public Health,https://www.hsph.harvard.edu/news/press-releases/whole-grains-diabetes-risk/,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,google/gemini-2.5-flash,0.7,2000,2025-11-28T14:30:04.448520,90,95,100,90,95,95,100,approve,[],google/gemini-2.5-flash,2025-11-28T14:39:20.806537
