full_insight,hook,explanation,action,source_name,source_url,cohort_params,cohort_desc,insight_template,gen_model,gen_temperature,gen_max_tokens,generated_at,eval_score,factual_accuracy,safety,faithfulness,relevance,actionability,cultural_appropriateness,recommendation,revision_suggestions,eval_model,evaluated_at
"Did you know a 10-minute brisk walk after lunch reduces post-meal blood glucose by 22%? This counters hyperglycemia from sedentary desk jobs and high-carb hawker meals, enhancing insulin sensitivity to prevent metabolic syndrome progression. After your next hawker lunch, walk briskly for 10 minutes around your office or nearby park.",Did you know a 10-minute brisk walk after lunch reduces post-meal blood glucose by 22%?,"This counters hyperglycemia from sedentary desk jobs and high-carb hawker meals, enhancing insulin sensitivity to prevent metabolic syndrome progression.","After your next hawker lunch, walk briskly for 10 minutes around your office or nearby park.",BMJ Open Diabetes Research & Care,https://drc.bmj.com/content/6/1/e000422,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:02.748444,90,95,100,90,100,100,100,approve,[],google/gemini-2.5-flash,2025-11-28T21:14:39.728838
"Did you know standing for 3 minutes every 30 minutes of sitting improves insulin levels by 32%? Breaks prolonged sitting, a key driver of cardiometabolic risks like high blood pressure and lipids in overweight office workers. Set a phone timer to stand and do light marches for 3 minutes every 30 minutes at your desk.",Did you know standing for 3 minutes every 30 minutes of sitting improves insulin levels by 32%?,"Breaks prolonged sitting, a key driver of cardiometabolic risks like high blood pressure and lipids in overweight office workers.",Set a phone timer to stand and do light marches for 3 minutes every 30 minutes at your desk.,Diabetes Care,https://diabetesjournals.org/care/article/43/6/1264/35575/Breaking-Up-Prolonged-Sitting-Alters-Postprandial,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:02.748457,90,95,100,90,100,100,100,revise,"[""Revise the 'hook' and 'explanation' to be more precise about the specific insulin metric improved. For example, instead of 'improves insulin levels by 32%', consider 'lowers post-meal insulin response by 32%' or 'reduces post-meal insulin spikes by 32%'. This aligns more closely with the 'postprandial insulin incremental area under the curve (iAUC)' mentioned in the source.""]",google/gemini-2.5-flash,2025-11-28T21:14:43.918662
"Did you know 30g daily nuts reduce heart disease risk by 29% in at-risk adults? Rich in healthy fats and fiber, nuts lower LDL cholesterol and inflammation, countering cardiovascular threats from obesity and inactivity. Pack 30g unsalted almonds or walnuts for your daily 3pm desk snack from NTUC FairPrice.",Did you know 30g daily nuts reduce heart disease risk by 29% in at-risk adults?,"Rich in healthy fats and fiber, nuts lower LDL cholesterol and inflammation, countering cardiovascular threats from obesity and inactivity.",Pack 30g unsalted almonds or walnuts for your daily 3pm desk snack from NTUC FairPrice.,JAMA Internal Medicine,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2781654,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:02.748461,85,90,100,80,95,90,100,revise,"[""Rephrase the 'hook' and 'explanation' to more accurately reflect the source's findings regarding the 29% reduction. Instead of 'in at-risk adults', consider 'among individuals with higher nut consumption' or 'can significantly reduce heart disease risk'."", ""Clarify that the 29% reduction refers to cardiovascular disease mortality, not general 'heart disease risk', to align more precisely with the source."", ""Consider removing the specific mention of 'NTUC FairPrice' in the action step to avoid any perception of advertising. A more general suggestion like 'available at your local supermarket' or 'from a reputable grocer' would be more neutral while retaining actionability.""]",google/gemini-2.5-flash,2025-11-28T21:14:51.141615
"Did you know ordering hawker veggie sides boosting fiber by 10g daily cuts diabetes risk by 19%? Fiber slows carb absorption, stabilizes blood sugar vital for overweight sedentary workers eating frequent hawker rice/noodle meals. Add a plate of stir-fried kangkong or chye sim (150g) to your daily hawker lunch.",Did you know ordering hawker veggie sides boosting fiber by 10g daily cuts diabetes risk by 19%?,"Fiber slows carb absorption, stabilizes blood sugar vital for overweight sedentary workers eating frequent hawker rice/noodle meals.",Add a plate of stir-fried kangkong or chye sim (150g) to your daily hawker lunch.,The Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31809-9/fulltext,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:02.748464,75,70,100,60,95,90,100,revise,"[""Re-evaluate the numeric claim of '10g daily cuts diabetes risk by 19%'. Either adjust the 10g figure to align with the 15g/day increase mentioned in The Lancet paper (which showed a 16% reduction), or rephrase the 19% reduction to reflect 'highest vs. lowest intake' rather than a specific 10g increment. For example, 'Did you know significantly increasing your daily fiber intake, such as by adding hawker veggie sides, can reduce diabetes risk by up to 19%?'"", ""Verify the fiber content of '150g of stir-fried kangkong or chye sim'. If it does not provide 10g of fiber, adjust the suggested portion size or the target fiber amount in the hook. For instance, if 150g provides 3-4g, the hook should reflect a smaller fiber increase or suggest a larger portion/multiple servings to reach 10g."", ""Clarify the link between '10g daily' and '19% reduction' to be more faithful to the source. The source indicates a 16% reduction for a 15g/day increase, and a 19% reduction for highest vs lowest intake. The current phrasing implies a direct 1:1 correlation for 10g, which is not explicitly stated in the source's abstract."", 'Consider rephrasing the hook to be less definitive about the exact 10g/19% correlation, perhaps focusing on the general benefit of increasing fiber through hawker veggie sides and citing the overall reduction potential from the source.']",google/gemini-2.5-flash,2025-11-28T21:14:59.377357
"Did you know 150 minutes weekend moderate activity halves cardiovascular disease risk despite weekday sedentary? Weekend 'catch-up' exercise improves metabolism, blood pressure like daily activity, per Singapore population data on metabolic risks. Do three 50-minute brisk walks in East Coast Park or Botanic Gardens over the weekend.",Did you know 150 minutes weekend moderate activity halves cardiovascular disease risk despite weekday sedentary?,"Weekend 'catch-up' exercise improves metabolism, blood pressure like daily activity, per Singapore population data on metabolic risks.",Do three 50-minute brisk walks in East Coast Park or Botanic Gardens over the weekend.,The Lancet Public Health,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00117-6/fulltext,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,quantified_action_benefit,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:02.748466,95,95,100,90,100,100,100,revise,"[""Change 'halves cardiovascular disease risk' to 'halves cardiovascular disease mortality risk' to accurately reflect the source study's findings."", ""Consider adding 'all-cause mortality' reduction if space allows, as it was also a significant finding in the study, but not strictly necessary for this specific insight's focus.""]",google/gemini-2.5-flash,2025-11-28T21:15:03.668375
"Did you know 10-minute walks after meals lower blood sugar spikes 22% more than one 30-minute daily walk? Post-meal activity immediately utilises glucose via muscle contractions, better controlling repeated spikes in sedentary office workers at metabolic risk. Take a 10-minute brisk walk around the office after your next lunch today.",Did you know 10-minute walks after meals lower blood sugar spikes 22% more than one 30-minute daily walk?,"Post-meal activity immediately utilises glucose via muscle contractions, better controlling repeated spikes in sedentary office workers at metabolic risk.",Take a 10-minute brisk walk around the office after your next lunch today.,Diabetologia,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:59.874720,75,70,100,40,100,100,100,revise,"[""Provide a specific citation (DOI or URL) to the study in 'Diabetologia' that supports the '22% more' claim. If such a precise percentage cannot be found, rephrase the numeric claim to be more general (e.g., 'significantly more' or 'more effectively') or remove the specific percentage if it's not directly verifiable."", ""If the '22% more' is an aggregation or interpretation of multiple studies, this should be clarified, or a more conservative, verifiable number should be used.""]",google/gemini-2.5-flash,2025-11-28T21:15:08.294227
"Did you know eating hawker veggies before rice cuts blood sugar rise 40% vs eating rice first? Vegetables first slow carbohydrate digestion and absorption, reducing glycemic load for overweight desk workers preventing diabetes progression. Start your next hawker meal with vegetables or clear soup before touching the rice or noodles.",Did you know eating hawker veggies before rice cuts blood sugar rise 40% vs eating rice first?,"Vegetables first slow carbohydrate digestion and absorption, reducing glycemic load for overweight desk workers preventing diabetes progression.",Start your next hawker meal with vegetables or clear soup before touching the rice or noodles.,Diabetes Care,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:59.874726,85,80,100,50,100,100,100,revise,"[""Replace '40%' with a more generalized statement like 'significantly reduces' or 'can reduce by a substantial amount' unless a specific study supporting the 40% figure can be cited."", ""Change 'source_url': 'general medical knowledge' to a specific, verifiable source. This could be a link to a relevant study published in 'Diabetes Care' (as implied by 'source_name'), a reputable health organization's guidelines (e.g., ADA, HPB Singapore), or a comprehensive review article on the 'vegetables first' approach. If a specific study from 'Diabetes Care' is the basis, provide its DOI or URL."", ""Consider adding a nuance to the numeric claim if a specific source is found, e.g., 'studies suggest reductions of up to 40%' or 'a study found a 40% reduction in specific conditions'.""]",google/gemini-2.5-flash,2025-11-28T21:15:12.993880
"Did you know 75 minutes weekly vigorous exercise equals 150 minutes moderate for 20-30% CVD mortality reduction? HPB-endorsed vigorous activity boosts heart health efficiency, perfect catch-up for time-poor sedentary workers with desk jobs. Do a 25-minute HIIT workout at your void deck three times this week.",Did you know 75 minutes weekly vigorous exercise equals 150 minutes moderate for 20-30% CVD mortality reduction?,"HPB-endorsed vigorous activity boosts heart health efficiency, perfect catch-up for time-poor sedentary workers with desk jobs.",Do a 25-minute HIIT workout at your void deck three times this week.,Health Promotion Board (HPB) Singapore,https://www.hpb.gov.sg/healthy-living/keep-active,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:59.874727,85,90,95,85,100,90,100,revise,"['Add a general disclaimer about consulting a doctor before starting a new vigorous exercise regimen, especially for previously sedentary individuals or those with underlying health conditions.', ""Consider adding a suggestion for a gradual build-up to HIIT for sedentary individuals, e.g., 'Start with shorter intervals or lower intensity, gradually increasing as you get fitter.'"", ""Refine the '20-30% CVD mortality reduction' claim to ensure it's directly supported by the HPB source or rephrase it to reflect general benefits of meeting physical activity guidelines, if the exact percentage isn't explicitly stated in the provided link."", ""While 'void deck' is culturally appropriate, ensure the action doesn't inadvertently exclude those who might prefer or require other settings (e.g., gym, home).""]",google/gemini-2.5-flash,2025-11-28T21:15:20.535206
"Did you know hourly 2-minute desk standing breaks improve glucose control 30% as much as 30-minute walks? Micro-breaks disrupt prolonged sitting, enhancing insulin sensitivity equally effectively for metabolic health in office environments. Set a timer to stand and march in place for 2 minutes every hour at your desk.",Did you know hourly 2-minute desk standing breaks improve glucose control 30% as much as 30-minute walks?,"Micro-breaks disrupt prolonged sitting, enhancing insulin sensitivity equally effectively for metabolic health in office environments.",Set a timer to stand and march in place for 2 minutes every hour at your desk.,BMJ Open Diabetes Research & Care,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:59.874728,75,60,100,0,100,100,100,revise,"[""Provide a specific study reference (DOI or URL) from 'BMJ Open Diabetes Research & Care' or another credible source that directly supports the '30% as much' comparative effectiveness claim."", ""Clarify the explanation: If the 2-minute breaks are 30% as effective as a 30-minute walk, the explanation should not state 'equally effectively'. Rephrase to reflect the proportional effectiveness. For example, 'Micro-breaks disrupt prolonged sitting, contributing significantly to insulin sensitivity and metabolic health in office environments, offering a substantial portion of the benefits seen with longer walks.'"", ""Consider if '30% as much' is the most impactful way to phrase the comparison. If the study shows a different relationship (e.g., a certain percentage reduction in post-meal glucose spikes), rephrase to reflect that accurately.""]",google/gemini-2.5-flash,2025-11-28T21:15:25.675715
"Did you know 500ml water 30 minutes before hawker meals curbs calorie intake 13% more than drinking during? Preloading stretches the stomach for satiety signals, supporting weight control in obese sedentary workers without diet overhaul. Drink two glasses of water 30 minutes before your next hawker centre meal today.",Did you know 500ml water 30 minutes before hawker meals curbs calorie intake 13% more than drinking during?,"Preloading stretches the stomach for satiety signals, supporting weight control in obese sedentary workers without diet overhaul.",Drink two glasses of water 30 minutes before your next hawker centre meal today.,Obesity Journal,general medical knowledge,"{'age_group': ['30-44', '45-59'], 'bmi': ['overweight', 'obese'], 'physical_activity': ['sedentary'], 'occupation_context': ['desk_job']}",Sedentary office workers at risk of metabolic diseases,comparative_effectiveness,x-ai/grok-4.1-fast,0.7,2000,2025-11-28T20:23:59.874728,65,40,90,10,90,95,100,revise,"[""**Factual Accuracy & Source Faithfulness:** The most critical issue is the lack of a specific, credible source for the '13% more' numeric claim. This needs to be either removed, rephrased to be less specific (e.g., 'may help curb calorie intake more effectively'), or a specific research study supporting this exact number and comparison must be provided. A generic journal name is insufficient."", ""**Source URL:** Replace 'general medical knowledge' with a direct link to the specific study or article that supports the claim."", ""**Numeric Claim Context:** If a specific study is found, ensure the '13% more' is properly contextualized (e.g., 'in a study of X participants, pre-meal water intake reduced calorie intake by 13% more than during-meal intake')."", '**Explanation:** While the explanation is generally correct, it could be strengthened if a specific study is found, by referencing its findings.']",google/gemini-2.5-flash,2025-11-28T21:15:33.545108
